N,P,K,temperature,humidity,ph,rainfall,label
18.5,38.6,21.5,26.6,64.9,6.64,88.2,Black Gram
28.4,39.5,28.9,30.1,59.6,6.68,94.9,Groundnut
99.7,67.3,67.9,22.2,68.1,6.17,61.7,Tomato
56.5,15.6,12.7,34.6,48.8,6.76,31.3,Pearl Millet
19.5,42.7,19.3,31.8,56.8,7.38,69.2,Black Gram
63.9,41.5,24.1,28.8,62.7,6.16,57.1,Sunflower
89.2,59.2,17.2,24.0,69.8,6.82,81.1,Maize
85.2,49.8,48.4,21.3,62.1,7.81,102.5,Cotton
28.2,61.8,18.7,23.1,77.0,6.62,79.3,Soybean
21.7,35.3,23.7,19.5,41.9,6.14,33.2,Lentil
159.4,64.3,52.6,23.5,70.5,6.88,216.0,Sugarcane
94.5,59.9,53.9,24.6,61.6,6.03,91.1,Brinjal
33.9,57.3,16.7,22.3,62.1,6.21,118.5,Soybean
25.0,35.5,16.1,21.1,51.4,6.29,27.2,Lentil
46.7,20.3,14.0,25.6,39.6,7.61,34.6,Pearl Millet
22.6,43.9,22.9,21.2,37.3,6.16,33.1,Lentil
71.7,44.3,24.3,21.9,45.4,6.31,46.4,Mustard
75.2,25.0,22.1,29.3,41.1,6.97,86.8,Sorghum
96.7,42.0,23.6,20.6,73.2,6.7,100.2,Maize
26.2,44.2,16.9,19.6,40.7,6.37,45.8,Chickpea
24.2,69.3,26.6,29.4,65.2,6.33,93.2,Soybean
27.6,80.0,25.4,24.5,77.5,6.78,70.8,Soybean
23.4,36.3,24.4,31.9,51.8,6.44,59.9,Green Gram
113.5,54.4,41.5,26.9,47.5,7.01,60.9,Cotton
202.2,69.8,66.5,26.1,66.8,7.49,205.2,Sugarcane
22.8,46.5,22.0,31.2,64.2,6.55,73.5,Green Gram
47.6,15.6,13.9,33.0,33.5,6.91,50.3,Pearl Millet
95.1,54.0,46.6,29.8,57.4,5.84,94.6,Brinjal
21.6,41.2,18.2,25.4,63.6,6.09,82.2,Green Gram
130.8,66.6,94.6,19.7,52.3,5.63,54.4,Potato
25.0,62.4,28.1,28.4,70.3,6.13,80.8,Soybean
88.2,61.9,28.2,23.3,54.8,6.68,99.2,Wheat
47.7,23.7,19.6,27.6,50.1,6.28,51.1,Finger Millet
18.3,42.0,19.4,21.7,62.5,6.56,64.3,Pigeon Pea
20.8,52.5,23.7,26.5,50.3,6.64,69.2,Green Gram
80.8,54.2,43.0,28.3,59.2,7.66,74.3,Cotton
87.1,53.6,29.8,24.2,50.9,6.25,56.6,Wheat
15.1,46.8,20.0,30.7,56.7,7.02,77.2,Black Gram
114.2,52.3,18.7,23.3,58.9,6.77,68.0,Wheat
82.6,54.3,20.0,18.1,55.2,6.23,106.3,Maize
23.0,55.1,22.9,25.8,60.6,5.79,62.5,Pigeon Pea
108.3,45.2,56.1,21.7,68.4,6.94,44.3,Tomato
123.3,65.5,114.5,15.3,68.8,5.07,64.6,Potato
82.4,41.9,51.1,29.5,73.7,5.71,205.6,Rice
97.6,43.7,19.9,17.6,51.8,6.33,79.9,Wheat
44.8,15.5,10.5,33.3,27.9,6.27,43.1,Pearl Millet
93.4,58.6,17.4,22.6,66.6,6.76,50.3,Wheat
21.0,59.9,24.8,28.8,65.1,6.33,96.9,Soybean
37.7,19.5,17.1,31.1,43.5,5.86,47.9,Sesame
128.4,47.9,62.7,22.3,63.3,5.54,56.8,Brinjal
37.4,28.4,16.4,30.3,41.6,6.97,46.2,Sesame
80.0,58.6,51.0,26.2,63.3,6.56,82.8,Chili
34.9,22.6,19.0,34.1,45.5,6.41,69.9,Sesame
125.5,59.4,102.6,20.5,60.0,5.03,76.0,Potato
15.2,44.7,20.0,25.2,57.6,6.56,76.9,Black Gram
104.6,47.7,24.4,18.9,58.5,6.2,94.3,Wheat
68.8,36.0,15.4,19.6,72.3,6.14,107.5,Maize
160.4,46.2,67.4,21.7,79.7,6.81,169.9,Sugarcane
70.6,39.3,25.6,29.4,56.3,6.92,42.8,Sunflower
99.2,50.1,18.6,23.8,57.5,6.87,85.2,Maize
87.0,52.3,42.7,31.4,72.8,5.84,167.0,Rice
16.3,63.2,20.8,21.7,53.2,6.52,44.9,Chickpea
20.9,42.1,19.8,28.0,59.4,7.05,62.3,Green Gram
100.4,68.0,65.1,21.4,70.4,6.69,53.9,Brinjal
19.7,54.1,16.2,31.5,69.7,6.96,75.8,Black Gram
95.8,58.7,23.9,21.8,70.6,6.37,84.9,Maize
173.2,51.5,71.0,25.0,81.9,6.49,220.2,Sugarcane
30.5,37.3,21.5,28.7,60.4,6.33,77.1,Groundnut
24.3,35.1,22.5,24.0,37.8,6.1,32.7,Lentil
34.7,75.2,17.4,24.2,66.6,6.65,107.8,Soybean
123.2,57.5,62.5,25.7,66.8,5.93,73.1,Brinjal
53.3,19.7,11.1,28.7,27.5,7.43,59.0,Pearl Millet
64.5,25.7,15.9,23.4,69.5,6.13,70.8,Finger Millet
33.9,59.4,29.4,25.9,52.0,6.15,85.1,Groundnut
30.0,65.4,15.7,28.3,73.6,6.47,115.0,Soybean
16.7,43.5,16.9,29.7,59.5,6.53,59.4,Green Gram
67.4,43.2,23.1,23.6,35.2,7.45,44.2,Mustard
27.3,64.0,22.9,21.0,44.9,6.06,59.4,Chickpea
118.5,35.3,54.4,22.4,87.8,6.03,298.9,Rice
18.6,40.0,21.9,29.7,59.9,6.07,84.0,Black Gram
25.9,45.9,21.3,23.4,51.0,6.37,84.9,Pigeon Pea
62.3,39.0,21.4,18.9,50.4,7.14,48.5,Mustard
64.6,43.0,26.9,27.6,47.7,6.13,76.3,Sunflower
33.6,18.5,13.8,30.1,45.6,6.83,48.3,Sesame
109.9,51.2,52.0,28.6,81.4,5.59,205.2,Rice
23.6,76.5,28.9,28.6,66.7,6.27,97.5,Soybean
67.3,37.5,25.4,27.3,45.9,7.01,56.6,Sunflower
45.8,32.4,20.6,27.6,62.8,5.37,78.4,Finger Millet
124.9,49.8,96.2,19.8,66.9,5.09,63.9,Potato
103.4,35.3,41.6,21.6,55.4,7.63,70.3,Cotton
53.6,31.5,20.6,14.4,51.0,7.46,36.4,Mustard
19.1,56.4,15.3,20.8,50.5,5.8,71.6,Pigeon Pea
95.6,35.3,53.1,22.9,76.4,6.45,292.6,Rice
89.9,57.9,19.3,20.3,63.7,6.67,60.5,Maize
113.3,56.8,56.7,21.5,62.6,6.01,82.4,Chili
73.8,43.4,24.8,25.7,69.0,6.67,88.1,Maize
17.4,43.3,17.3,26.9,72.4,7.07,73.2,Black Gram
62.9,45.2,18.1,24.1,67.1,6.24,70.9,Maize
106.5,57.4,96.5,23.0,50.2,6.46,65.0,Potato
105.1,46.9,45.3,20.9,55.2,6.23,61.0,Tomato
116.5,61.3,66.5,19.4,63.6,6.1,59.5,Tomato
56.4,42.8,24.9,13.1,52.2,6.59,45.7,Mustard
18.0,49.7,23.7,16.9,37.0,6.9,30.5,Lentil
48.2,27.0,17.4,25.6,34.7,6.65,39.1,Pearl Millet
59.3,29.8,17.5,27.5,38.5,7.79,55.7,Pearl Millet
102.6,40.6,53.4,22.7,60.9,7.93,96.4,Cotton
83.1,49.2,43.6,21.2,49.7,6.57,65.6,Cotton
96.5,47.2,63.5,22.7,67.5,6.4,66.1,Brinjal
24.7,50.9,20.5,20.1,58.9,6.06,107.1,Pigeon Pea
113.5,69.1,80.9,21.9,69.3,5.51,65.9,Potato
88.5,40.8,24.8,16.8,67.3,6.71,98.4,Wheat
180.8,69.6,64.9,23.2,70.9,7.04,242.5,Sugarcane
46.1,29.4,18.6,30.0,57.0,5.87,78.3,Finger Millet
90.6,67.5,58.2,26.5,56.2,6.23,53.0,Tomato
58.9,36.3,17.5,22.6,37.2,7.24,48.1,Mustard
93.9,62.5,15.3,20.6,69.3,6.84,96.8,Wheat
85.4,53.3,50.4,21.6,60.7,6.91,40.8,Chili
21.3,37.0,21.0,16.2,36.6,6.53,32.1,Lentil
87.4,61.7,26.6,22.0,66.9,7.14,81.3,Wheat
29.9,50.2,17.9,20.6,41.1,6.13,20.1,Chickpea
20.7,53.1,22.8,28.2,61.3,6.81,53.6,Black Gram
22.4,47.4,23.0,19.3,50.7,6.46,48.2,Lentil
36.9,17.4,10.2,32.8,36.5,6.98,58.6,Sesame
92.9,55.1,20.5,22.7,57.9,6.73,73.6,Maize
21.2,54.2,15.4,21.2,49.1,6.1,102.3,Pigeon Pea
36.1,23.5,19.0,30.0,53.8,6.84,55.2,Sesame
31.9,69.5,24.7,29.4,68.6,6.33,118.9,Soybean
69.6,20.8,16.4,20.5,60.6,5.1,91.8,Finger Millet
93.4,49.5,55.1,24.9,74.3,6.76,92.6,Brinjal
15.9,54.8,24.5,22.8,73.7,6.54,83.8,Black Gram
63.2,31.3,23.5,27.0,53.4,7.03,81.2,Sorghum
97.4,41.2,51.4,30.0,83.9,5.77,238.5,Rice
128.9,53.8,66.7,20.9,61.7,5.96,52.6,Brinjal
32.5,66.5,23.9,24.1,72.9,6.99,72.5,Soybean
21.1,42.4,19.2,30.3,56.2,7.41,52.2,Green Gram
53.0,27.5,23.0,29.3,54.9,6.84,56.1,Sorghum
57.4,33.9,20.0,28.4,56.1,6.28,86.6,Finger Millet
21.1,38.0,28.9,28.4,65.9,6.33,79.6,Groundnut
58.6,45.4,27.8,27.1,57.4,6.74,51.9,Sunflower
63.5,44.9,19.5,21.6,45.9,6.29,63.3,Sunflower
28.2,63.5,22.4,15.9,48.4,6.62,38.8,Chickpea
85.3,57.9,28.6,14.3,54.8,7.46,59.0,Wheat
64.9,38.6,15.6,25.9,34.1,6.89,47.5,Sorghum
33.9,77.5,16.3,23.1,69.9,6.11,87.3,Soybean
74.1,39.7,24.3,17.8,38.5,6.07,37.4,Mustard
72.1,27.6,20.1,15.6,38.2,6.64,33.9,Mustard
87.4,38.3,21.4,31.3,40.1,7.13,66.6,Sorghum
89.6,41.9,53.4,21.7,57.2,7.36,85.3,Cotton
17.4,64.5,16.6,19.9,42.3,6.96,25.2,Chickpea
69.0,28.9,14.3,26.2,37.8,6.76,41.2,Pearl Millet
22.8,45.6,20.9,24.0,60.7,6.24,60.0,Black Gram
22.0,62.2,24.9,26.9,70.6,6.68,101.9,Soybean
107.3,41.9,27.8,18.4,59.6,6.89,91.2,Wheat
41.7,28.8,23.4,20.2,46.2,6.03,91.0,Finger Millet
18.3,36.9,24.8,17.9,43.5,6.65,20.7,Lentil
53.5,30.4,22.3,30.0,52.2,5.97,76.7,Finger Millet
36.3,51.3,27.6,31.6,55.5,6.17,74.2,Groundnut
58.8,27.6,23.1,33.2,39.6,6.69,55.2,Sorghum
15.2,42.5,20.8,23.8,55.7,6.81,105.6,Pigeon Pea
65.0,31.0,15.5,29.3,50.8,7.21,51.2,Sorghum
16.9,44.7,23.3,31.5,67.7,6.53,74.1,Black Gram
126.6,67.1,45.8,25.5,68.1,6.77,64.7,Tomato
61.0,47.9,29.2,20.4,63.4,6.91,72.3,Sunflower
118.6,63.3,68.3,20.1,74.9,6.77,76.3,Tomato
18.1,53.2,23.7,27.6,61.5,6.44,51.3,Black Gram
52.6,15.9,17.7,32.0,33.3,7.28,41.9,Pearl Millet
83.3,53.6,55.8,29.6,53.0,6.53,68.4,Chili
55.3,26.6,13.4,31.3,29.8,6.43,58.1,Pearl Millet
96.7,58.3,52.3,22.5,70.5,5.88,271.6,Rice
114.2,52.6,44.5,23.0,79.8,5.97,176.0,Rice
24.9,63.5,24.9,25.7,76.2,6.16,109.5,Soybean
16.7,42.0,22.4,29.6,68.3,6.35,73.5,Black Gram
108.7,48.1,100.7,19.9,56.7,5.95,42.7,Potato
105.0,66.5,57.9,25.4,72.2,6.14,84.1,Brinjal
21.7,73.1,19.0,28.6,79.9,6.08,93.7,Soybean
45.9,21.5,16.7,29.2,65.5,5.64,82.8,Finger Millet
15.6,44.9,20.4,24.3,51.7,7.26,32.1,Chickpea
111.5,49.5,67.7,26.5,64.6,6.56,72.5,Brinjal
57.4,29.3,22.8,27.0,65.9,5.1,87.4,Finger Millet
56.0,25.4,18.6,29.1,47.0,6.09,41.7,Sorghum
128.0,51.7,63.9,20.4,69.8,6.8,52.4,Tomato
53.9,23.7,24.1,23.4,68.8,5.96,81.6,Finger Millet
99.8,65.4,47.6,22.2,65.1,6.58,57.4,Brinjal
93.1,53.9,62.4,29.5,74.3,6.22,80.3,Brinjal
66.0,37.7,29.0,28.9,48.8,6.52,64.5,Sunflower
22.9,38.9,17.6,27.1,61.6,7.29,69.0,Black Gram
20.9,29.0,16.3,34.9,45.7,6.57,37.0,Sesame
21.0,51.3,22.6,24.6,54.9,7.45,45.3,Green Gram
186.2,67.2,79.6,22.3,67.6,6.2,218.1,Sugarcane
113.8,54.6,54.7,21.1,55.4,6.07,40.4,Chili
119.4,41.5,48.6,22.4,62.6,6.81,88.3,Chili
16.1,50.0,17.6,25.3,55.3,6.89,87.5,Pigeon Pea
20.8,52.8,22.0,24.0,58.6,6.74,47.2,Green Gram
96.3,51.7,54.1,28.1,62.2,6.11,74.1,Chili
38.8,28.1,15.1,30.7,35.1,5.82,35.9,Sesame
57.2,43.4,15.8,17.6,45.6,7.35,59.9,Mustard
180.4,54.0,63.9,29.8,81.8,6.6,193.0,Sugarcane
48.3,29.6,18.4,30.0,51.6,5.5,96.5,Finger Millet
21.3,58.8,19.2,27.1,51.8,6.11,86.3,Groundnut
64.0,38.1,16.0,15.3,53.4,7.0,30.4,Mustard
21.3,51.9,18.0,25.5,68.1,7.35,84.1,Green Gram
19.3,63.7,23.4,22.2,36.6,6.16,39.7,Chickpea
65.7,32.7,18.6,26.9,52.8,5.11,85.1,Finger Millet
33.0,25.9,15.5,28.8,48.0,6.86,49.6,Sesame
37.0,59.9,22.6,26.8,53.7,6.0,75.5,Groundnut
21.1,43.2,21.9,25.6,56.0,6.2,88.7,Groundnut
27.3,24.2,18.8,34.6,46.7,5.56,68.9,Sesame
116.4,35.6,44.0,26.5,51.4,7.54,108.6,Cotton
92.8,41.6,48.0,26.0,52.2,7.28,73.6,Cotton
103.4,53.2,55.0,25.1,66.3,6.93,41.3,Tomato
104.8,48.3,52.9,29.9,73.0,5.81,187.3,Rice
17.5,36.3,21.9,20.7,43.1,6.36,26.5,Lentil
200.2,52.5,50.8,22.6,71.3,6.89,185.8,Sugarcane
72.1,50.0,18.0,20.7,69.9,5.86,105.1,Maize
111.6,66.7,109.9,18.8,64.2,6.3,79.0,Potato
52.6,32.6,23.8,22.4,58.8,5.35,55.1,Finger Millet
31.9,58.3,26.4,22.5,60.3,6.9,99.1,Soybean
51.0,21.6,21.3,21.2,69.6,6.41,69.5,Finger Millet
139.3,65.9,99.2,22.9,57.0,6.18,48.9,Potato
79.1,24.7,19.3,28.0,44.5,7.43,50.7,Pearl Millet
24.8,45.4,16.8,26.9,56.3,6.79,65.9,Pigeon Pea
19.6,47.9,18.8,25.6,47.3,7.0,81.3,Pigeon Pea
15.2,58.3,23.1,28.4,46.9,6.61,108.0,Pigeon Pea
129.7,66.9,94.8,18.7,58.7,6.38,67.7,Potato
29.3,46.0,18.2,16.8,46.5,6.23,34.2,Chickpea
30.8,61.4,16.3,22.6,68.5,6.95,80.9,Soybean
23.3,42.7,20.9,29.2,59.8,6.25,88.9,Black Gram
77.3,31.5,19.3,27.8,49.2,6.34,74.6,Sorghum
56.4,22.0,21.9,28.0,49.1,5.19,57.3,Finger Millet
17.4,54.1,24.4,15.0,39.8,7.41,26.8,Chickpea
97.2,61.4,69.9,26.5,67.1,6.03,65.6,Brinjal
94.9,54.4,41.8,31.3,87.2,5.93,262.6,Rice
211.7,66.3,62.7,26.4,72.2,7.49,161.1,Sugarcane
22.8,71.4,20.6,29.9,73.3,6.96,80.1,Soybean
53.9,51.9,26.2,22.0,51.8,7.45,63.8,Sunflower
205.5,46.6,47.9,24.3,75.3,6.61,154.5,Sugarcane
83.7,29.7,18.3,32.9,41.3,6.28,82.7,Sorghum
90.3,53.8,46.2,28.4,54.3,6.01,53.4,Chili
105.3,62.2,60.0,18.5,56.6,6.02,58.5,Tomato
58.5,33.3,19.1,29.0,52.1,7.34,85.5,Sorghum
83.5,53.2,47.0,27.0,63.0,7.57,99.0,Cotton
112.6,56.4,56.0,21.0,66.0,6.12,46.2,Chili
119.7,51.3,39.3,22.8,51.5,6.01,94.1,Cotton
57.4,31.1,21.8,22.1,53.8,5.23,56.5,Finger Millet
22.8,25.3,13.1,34.1,48.4,6.47,54.6,Sesame
30.5,18.5,10.5,30.7,41.7,5.77,46.3,Sesame
87.7,52.7,36.2,29.3,46.6,7.83,84.5,Cotton
105.1,49.6,53.0,22.5,75.6,6.45,283.5,Rice
102.7,53.3,66.4,21.5,73.9,6.16,96.3,Brinjal
97.7,50.5,46.2,22.4,61.9,6.58,68.3,Brinjal
116.5,60.2,47.7,24.6,73.5,6.16,69.9,Tomato
70.7,42.2,21.6,26.7,67.1,5.89,63.8,Maize
28.3,22.2,14.6,34.7,35.9,6.93,55.4,Sesame
18.6,35.2,23.4,15.3,53.8,6.89,36.1,Lentil
15.9,39.2,20.0,22.2,60.1,6.78,50.6,Black Gram
107.6,56.9,18.2,20.6,57.9,6.98,55.3,Wheat
198.2,53.2,66.5,21.6,67.0,7.05,186.8,Sugarcane
84.7,38.5,19.2,25.5,31.0,6.86,59.6,Sorghum
96.3,51.8,20.6,19.0,63.9,6.35,103.2,Maize
61.7,16.3,10.6,26.1,39.6,7.07,37.0,Pearl Millet
93.9,56.6,26.9,24.1,54.7,6.6,57.6,Wheat
76.4,26.4,16.8,28.0,29.6,7.41,44.2,Pearl Millet
193.1,68.2,62.5,30.8,74.1,6.42,241.6,Sugarcane
22.1,40.1,23.6,30.9,58.9,6.2,89.0,Black Gram
111.9,49.0,113.2,23.7,57.0,5.44,64.1,Potato
108.9,53.0,47.8,28.9,80.9,5.75,201.9,Rice
24.3,45.6,22.5,26.4,64.9,6.31,59.8,Green Gram
28.4,46.7,19.1,24.0,52.9,7.03,54.4,Chickpea
23.1,54.1,24.3,31.1,65.2,6.54,68.6,Black Gram
25.7,55.1,18.0,19.1,39.4,7.45,25.2,Chickpea
66.3,35.6,24.3,20.6,57.3,7.03,47.9,Sunflower
58.8,27.0,18.7,25.7,39.2,6.7,76.1,Sorghum
44.3,21.6,19.2,28.0,48.5,5.23,82.2,Finger Millet
27.3,66.4,18.1,28.0,69.0,6.96,83.0,Soybean
88.4,51.2,48.2,29.2,67.6,6.48,58.0,Chili
115.2,59.6,60.8,27.2,55.4,5.64,68.0,Brinjal
19.1,35.2,16.7,28.5,62.2,7.18,55.2,Green Gram
62.0,17.3,17.3,31.0,43.3,7.43,59.3,Pearl Millet
34.1,62.9,24.8,22.6,64.8,6.77,96.4,Soybean
65.6,23.0,23.7,23.5,63.1,5.57,95.3,Finger Millet
22.6,35.3,20.6,18.8,45.1,6.56,29.4,Lentil
78.6,20.9,11.3,31.7,43.2,7.12,36.2,Pearl Millet
20.7,44.7,20.5,26.9,66.3,7.07,54.4,Black Gram
98.3,35.2,25.0,24.1,71.6,6.15,60.7,Maize
80.4,38.4,53.0,30.7,81.9,6.1,249.8,Rice
16.4,47.2,16.7,27.3,66.8,6.45,51.4,Black Gram
35.3,26.0,18.1,25.3,36.0,6.68,53.7,Sesame
22.9,36.1,18.7,20.1,46.2,6.73,30.6,Lentil
101.2,44.9,45.7,26.7,63.4,6.36,74.8,Cotton
62.0,36.8,19.0,20.7,59.6,6.14,100.2,Maize
73.4,40.1,23.1,12.1,45.0,7.06,34.7,Mustard
115.9,50.2,35.2,23.0,83.3,5.51,174.1,Rice
122.0,55.2,53.0,22.6,57.9,6.36,82.9,Tomato
119.4,41.1,48.4,29.6,74.8,6.23,205.2,Rice
24.1,50.7,21.4,26.3,56.1,6.98,96.6,Pigeon Pea
116.5,59.0,108.6,15.3,55.8,5.91,54.3,Potato
22.1,64.8,22.7,17.1,45.0,6.35,36.4,Chickpea
23.6,43.1,22.0,27.6,67.1,6.47,65.9,Green Gram
65.4,20.3,11.5,31.0,45.4,6.81,34.0,Pearl Millet
19.0,38.0,20.0,23.0,43.8,6.49,45.5,Lentil
40.2,22.3,11.2,28.1,48.2,6.46,59.0,Pearl Millet
70.6,50.0,18.0,24.4,70.2,5.92,85.7,Maize
53.5,27.4,10.0,28.1,31.0,6.57,32.0,Pearl Millet
108.3,49.6,54.3,23.2,56.1,6.71,67.2,Tomato
70.6,23.2,15.8,25.2,34.1,7.34,52.1,Sorghum
101.3,48.5,47.7,29.3,89.5,6.02,198.4,Rice
107.6,36.0,51.0,28.3,71.6,6.37,288.1,Rice
28.3,40.5,19.6,24.7,62.5,6.64,85.7,Pigeon Pea
21.2,46.7,17.8,31.1,56.1,6.67,66.8,Green Gram
18.1,45.3,20.9,29.9,63.1,6.91,61.5,Green Gram
76.4,33.8,16.2,34.4,34.5,6.93,51.1,Sorghum
91.9,63.5,18.9,17.6,67.5,7.26,59.3,Wheat
81.6,39.2,44.1,23.2,50.2,7.75,85.8,Cotton
52.8,27.0,24.3,26.4,52.8,5.95,53.3,Finger Millet
21.2,36.1,15.2,19.5,41.7,6.44,27.9,Lentil
97.8,53.9,53.1,23.2,54.9,6.34,79.8,Chili
100.9,35.2,51.6,27.3,58.2,6.14,78.1,Cotton
88.7,28.9,20.0,27.5,41.8,6.99,77.6,Sorghum
22.1,44.0,16.0,22.1,35.6,6.87,24.2,Lentil
155.9,45.1,59.3,27.9,71.6,7.26,221.7,Sugarcane
15.7,54.1,17.2,24.2,43.5,6.99,36.6,Lentil
30.5,24.4,17.6,33.4,50.2,6.03,69.9,Sesame
172.1,64.5,68.5,29.0,81.2,7.17,218.2,Sugarcane
184.3,69.2,78.2,31.8,82.3,7.36,171.7,Sugarcane
106.8,52.9,44.4,27.6,51.7,6.49,40.5,Chili
32.6,28.7,10.4,27.4,38.9,6.25,50.0,Sesame
63.9,40.0,17.2,14.9,53.9,7.43,59.7,Mustard
139.3,45.2,105.4,21.7,68.4,6.33,73.7,Potato
16.7,63.3,16.8,17.5,43.1,6.57,51.8,Chickpea
36.4,20.6,18.5,26.6,40.4,5.57,47.8,Sesame
16.4,47.5,22.3,24.3,40.6,6.95,21.9,Lentil
61.9,21.0,15.2,35.0,28.4,7.28,41.9,Pearl Millet
17.3,45.4,16.7,25.1,61.4,6.24,58.2,Black Gram
41.9,22.8,15.3,27.4,63.1,5.24,91.8,Finger Millet
50.0,28.7,23.9,25.7,60.8,5.93,52.6,Finger Millet
80.9,50.8,44.4,25.6,59.3,6.58,67.5,Chili
117.7,40.0,35.8,25.4,54.0,6.66,107.9,Cotton
22.7,63.0,24.0,16.6,42.3,6.93,26.4,Chickpea
33.1,46.1,20.2,30.7,65.2,6.32,55.2,Groundnut
110.9,49.6,55.8,20.7,53.8,6.55,87.4,Chili
102.0,41.1,24.5,24.4,62.0,7.23,94.2,Wheat
87.5,36.4,24.8,27.6,54.2,6.65,57.4,Sorghum
127.1,58.0,49.8,20.7,62.7,6.62,62.0,Tomato
101.1,40.1,37.4,25.6,46.6,7.17,61.6,Cotton
52.8,17.5,17.8,26.2,40.9,6.4,32.1,Pearl Millet
129.5,64.9,60.7,25.2,74.4,6.4,97.2,Brinjal
28.4,55.8,15.3,24.9,69.8,6.28,98.8,Groundnut
107.9,49.0,98.9,21.9,69.9,6.18,75.1,Potato
22.1,38.8,20.5,24.5,74.1,6.04,58.0,Black Gram
176.3,53.8,73.9,21.1,81.0,6.86,248.6,Sugarcane
108.4,65.7,55.6,22.5,74.7,5.9,66.2,Brinjal
23.7,49.9,23.6,19.9,37.6,6.7,26.2,Lentil
18.4,49.6,18.7,24.5,55.7,5.81,67.8,Pigeon Pea
34.3,20.6,16.8,32.1,53.7,5.6,41.7,Sesame
24.1,54.0,19.9,20.0,38.5,7.22,41.7,Chickpea
103.8,54.4,45.1,25.6,59.5,7.0,90.4,Cotton
109.8,45.1,29.4,16.8,56.5,6.22,65.3,Wheat
67.2,31.9,25.0,32.7,39.9,7.24,48.5,Sorghum
51.2,24.1,18.4,30.1,45.4,7.37,65.5,Sorghum
36.0,46.3,27.3,28.3,56.8,6.66,85.9,Groundnut
60.3,21.0,21.0,27.4,50.3,6.51,51.5,Finger Millet
24.4,40.2,23.5,23.6,50.5,6.17,44.7,Lentil
70.8,59.2,20.6,21.1,66.6,5.97,82.2,Maize
127.0,50.7,57.3,28.8,56.6,5.57,61.7,Brinjal
207.1,60.5,78.6,23.8,66.4,6.74,158.5,Sugarcane
55.6,34.1,22.5,15.7,35.4,6.81,58.7,Mustard
21.5,37.3,20.4,19.4,40.4,6.6,46.1,Lentil
197.0,65.8,74.8,22.9,74.7,7.1,227.4,Sugarcane
67.2,29.0,20.0,32.2,32.2,7.61,31.5,Pearl Millet
111.0,48.5,67.9,27.3,68.7,6.02,66.9,Tomato
28.2,45.8,19.1,20.4,55.0,6.33,87.9,Pigeon Pea
22.9,43.7,20.2,26.6,53.4,6.57,103.1,Pigeon Pea
108.7,50.2,68.1,20.5,72.3,6.16,80.9,Brinjal
108.9,50.6,54.6,20.9,60.6,6.29,88.6,Chili
160.9,55.4,67.0,29.6,78.7,7.01,164.9,Sugarcane
217.3,58.4,58.2,29.4,75.5,6.02,223.6,Sugarcane
74.2,28.8,17.1,16.4,41.4,7.43,53.7,Mustard
163.0,63.0,68.4,29.2,68.8,6.24,173.6,Sugarcane
111.2,42.7,26.4,19.0,69.3,6.51,81.6,Wheat
91.8,55.2,55.4,27.7,67.0,6.64,75.7,Tomato
23.0,43.2,17.3,19.1,51.5,6.23,35.7,Lentil
61.8,29.0,15.7,22.0,40.0,6.91,50.6,Mustard
93.3,40.6,52.2,25.7,51.9,6.6,89.9,Chili
150.3,54.1,50.9,29.3,66.0,6.83,179.5,Sugarcane
125.8,64.7,48.2,24.1,74.9,6.6,79.3,Tomato
21.4,63.0,20.8,27.0,63.2,6.86,92.4,Soybean
109.4,55.7,62.8,26.5,58.7,5.77,62.6,Brinjal
18.6,44.5,18.6,21.4,53.0,6.16,31.4,Lentil
61.7,33.4,24.7,21.0,49.4,6.84,59.2,Mustard
81.2,48.4,53.5,26.4,64.4,6.27,88.4,Cotton
90.9,50.3,16.8,14.4,63.6,6.27,76.3,Wheat
97.2,45.1,24.1,20.9,64.5,6.07,92.0,Maize
107.5,35.9,51.5,23.6,53.9,6.62,73.4,Cotton
66.3,23.2,21.6,34.7,44.1,7.07,43.4,Sorghum
101.8,45.3,37.2,24.5,59.7,7.84,72.6,Cotton
27.9,19.7,11.0,29.3,41.8,5.68,45.4,Sesame
96.7,56.6,49.3,23.0,65.5,6.85,61.0,Chili
85.0,47.2,19.0,26.9,72.6,6.55,88.5,Maize
177.8,68.7,53.7,31.4,84.1,7.32,206.4,Sugarcane
50.4,33.4,24.7,24.4,53.0,5.95,84.4,Finger Millet
73.6,53.0,18.3,26.3,52.8,7.48,59.2,Sunflower
185.0,48.2,73.2,27.8,67.7,6.56,231.0,Sugarcane
73.2,39.8,22.6,29.4,47.7,6.58,51.4,Sorghum
106.2,46.0,51.8,24.0,64.6,6.21,63.7,Brinjal
160.1,52.7,71.8,24.4,73.2,6.45,158.0,Sugarcane
64.2,21.0,15.3,29.2,32.1,6.91,84.0,Sorghum
56.9,42.0,16.4,19.5,52.8,6.71,52.4,Mustard
102.7,58.5,28.2,17.3,56.5,7.0,90.4,Wheat
23.7,48.3,18.4,28.8,55.4,7.1,69.5,Black Gram
96.4,67.2,69.8,23.7,70.5,6.86,75.0,Tomato
77.3,15.3,11.5,33.9,36.5,7.1,49.9,Pearl Millet
108.7,57.3,29.9,13.7,52.1,7.09,78.9,Wheat
98.2,48.1,18.0,18.7,65.0,6.75,95.4,Maize
87.6,48.4,51.8,26.0,55.8,6.92,85.8,Chili
59.2,23.5,22.1,28.7,48.2,6.56,79.7,Finger Millet
